Competition,Game Number,Round,Division,Pay Class,Gender,Date,Time,Game Length,Venue,Court,Home Team,Home Club,Away Team,Away Club
U8 BOYS (S22-23),1,5,Division 3,Juniors,Mixed,05/11/2022,08:00:00,40,ORC,1,Maccabi Celtics,MACCABI,Solway Vipers,SOLWAYBB
U8 GIRLS (S22-23),2,5,Division 1,Juniors,Female,05/11/2022,08:00:00,40,ORC,2,Aintree Piranhas,CAULFIELD MALVERN,Scorpions Ferndale,GLEN IRIS DISTRICT
U8 GIRLS (S22-23),3,5,Division 2,Juniors,Female,05/11/2022,08:00:00,40,ORC,3,Ashy Gold,ASHBURTON,Korowa Grey ,KOROWA BASKETBALL
U8 BOYS (S22-23),4,5,Division 5,Juniors,Mixed,05/11/2022,08:00:00,40,ORC,4,Scorpions Nettleton,GLEN IRIS DISTRICT,Solway Doom,SOLWAYBB
U8 BOYS (S22-23),5,5,Division 6,Juniors,Mixed,05/11/2022,08:00:00,40,ORC,5,Solway Pythons,SOLWAYBB,Stonnington Piranhas,CAULFIELD MALVERN
U10 BOYS (S22-23),6,5,Division 7,Juniors,Mixed,05/11/2022,08:00:00,40,WAV,1,Scorpions Summerhill,GLEN IRIS DISTRICT,Solway Giants,SOLWAYBB
U8 BOYS (S22-23),7,5,Division 2,Juniors,Mixed,05/11/2022,08:00:00,40,WAV,2,Comets Lions,COMETS,Scorpions Gardiner,GLEN IRIS DISTRICT
U8 BOYS (S22-23),8,5,Division 4,Juniors,Mixed,05/11/2022,08:00:00,40,WAV,3,Ardrie Park Piranhas,CAULFIELD MALVERN,Heywood Park Piranhas,CAULFIELD MALVERN
U8 GIRLS (S22-23),9,5,Division 2,Juniors,Female,05/11/2022,08:00:00,40,WAV,4,Creswick Piranahs,CAULFIELD MALVERN,Timberwolves Diamonds,TIMBERWOLVES
U8 BOYS (S22-23),10,5,Division 4,Juniors,Mixed,05/11/2022,08:00:00,40,WAV,5,Kooyong Piranhas,CAULFIELD MALVERN,Maccabi Hawks,MALVERN TIGERS
U8 BOYS (S22-23),11,5,Division 1,Juniors,Mixed,05/11/2022,08:00:00,40,WAV,6,Ashy Gold,ASHBURTON,Tigers Red,MALVERN TIGERS
U8 BOYS (S22-23),12,5,Division 6,Juniors,Mixed,05/11/2022,08:45:00,40,ASB,1,Solway Thunder,SOLWAYBB,Tigers Purple,MALVERN TIGERS
U8 BOYS (S22-23),13,5,Division 3,Juniors,Mixed,05/11/2022,08:45:00,40,ORC,1,Maccabi Jaguars,MACCABI,Timberwolves Lightening,TIMBERWOLVES
U8 BOYS (S22-23),14,5,Division 2,Juniors,Mixed,05/11/2022,08:45:00,40,ORC,2,Scorpions Ferndale ,GLEN IRIS DISTRICT,Tigers Green,MALVERN TIGERS
U8 GIRLS (S22-23),15,5,Division 3,Juniors,Female,05/11/2022,08:45:00,40,ORC,3,Solway Rubies,SOLWAYBB,Tigers Green,MALVERN TIGERS
U8 GIRLS (S22-23),16,5,Division 3,Juniors,Female,05/11/2022,08:45:00,40,ORC,4,Solway Sapphires,SOLWAYBB,Tigers White,MALVERN TIGERS
U8 BOYS (S22-23),17,5,Division 5,Juniors,Mixed,05/11/2022,08:45:00,40,ORC,5,Comets Panthers,COMETS,Maccabi Eagles,MACCABI
U10 BOYS (S22-23),18,5,Division 6,Juniors,Mixed,05/11/2022,08:45:00,40,WAV,1,Ashy Yellow,ASHBURTON,Prahran Piranhas,CAULFIELD MALVERN
U8 GIRLS (S22-23),19,5,Division 1,Juniors,Female,05/11/2022,08:45:00,40,WAV,2,Solway Gems,SOLWAYBB,Tigers Yellow,MALVERN TIGERS
U8 BOYS (S22-23),20,5,Division 1,Juniors,Mixed,05/11/2022,08:45:00,40,WAV,3,Maccabi Warriors,MACCABI,Yarra Park Piranhas,CAULFIELD MALVERN
U8 BOYS (S22-23),21,5,Division 2,Juniors,Mixed,05/11/2022,08:45:00,40,WAV,4,Ashy Green,ASHBURTON,Maccabi Giants,MACCABI
U8 BOYS (S22-23),22,5,Division 4,Juniors,Mixed,05/11/2022,08:45:00,40,WAV,5,Tigers Blue,MALVERN TIGERS,Warrawee Piranhas,CAULFIELD MALVERN
U8 GIRLS (S22-23),23,5,Division 1,Juniors,Female,05/11/2022,08:45:00,40,WAV,6,Maccabi Warriors,MACCABI,Solway Emeralds,SOLWAYBB
